author,comment
@ChrisWillx,"Hello you beauties. I really enjoyed this one, hope you do too! Get a free list of my 100 favourite books - <a href=""https://chriswillx.com/books/"">https://chriswillx.com/books/</a> Here&#39;s the timestamps:<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU"">00:00</a> Why We Need to Experience Difficulty<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=184"">03:04</a> Is Cynicism Helpful?<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=620"">10:20</a> The Inner Citadel<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1004"">16:44</a> Balancing Happiness &amp; High Standards<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1423"">23:43</a> Who Are You Comparing Yourself To?<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=1710"">28:30</a> What It’s Like to Be Elon Musk<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=2071"">34:31</a> Has Fame Changed Jordan?<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=2863"">47:43</a> Why You Should Always Tell the Truth<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=3260"">54:20</a> How Pickup Artistry Created Incels<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=3980"">1:06:20</a> Reflecting on the New York Times Hit Piece<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=4418"">1:13:38</a> Being Grateful For Suffering<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=5003"">1:23:23</a> The Decline of Mental Health in Young Adults<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=5846"">1:37:26</a> Reacting to Forecasts of Population Decline<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=6295"">1:44:55</a> Being Friends With Douglas Murray<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=6581"">1:49:41</a> Are Our Intellectuals Limited By the Culture War? <br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=6833"">1:53:53</a> Jordan’s Wrestling With God<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=7650"">2:07:30</a> Celebrities With Unearned Moral Reputations<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=8204"">2:16:44</a> The Decision to Avoid Decisions<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=8537"">2:22:17</a> How to Know If You Should End a Relationship <br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=9216"">2:33:36</a> The Happiness of Pursuit<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=9640"">2:40:40</a> Where to Find Difficulty in a Comfortable World<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=10207"">2:50:07</a> Are Universities Dying? <br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=10538"">2:55:38</a> The Benefits of Monk Mode<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=10810"">3:00:10</a> What’s Wrong With Creating an Online Persona<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=11479"">3:11:19</a> What’s Next For Jordan<br><a href=""https://www.youtube.com/watch?v=WEP5ubPMGDU&amp;t=11996"">3:19:56</a> How Jordan Relaxes After a Show"
@Neilchristie-c2r,Wonderful insight Jordan
@seanseasman1355,Jordan Peterson is a great man really genuine he must of helped thousands of men 💪
@johnve8327,"One of the greatest men of our time, God Bless You Dr Peterson! Also, thank you Chris, brilliant work!"
@SeniorWellnessGuide,"I’m not sure if it’s because of my ADHD, but as a 17-year-old listening to Dr. Peterson, I honestly can’t understand how some of you can listen to podcasts while doing other things. Seriously, almost everything he says is so relatable and valuable that I have to pause and take notes every single time."
@janinedillon917,Quarter life ???❤
@janinedillon917,So plato produce charlie Ch as plin and marselle marso fintick
@janinedillon917,I wish young and lack of what i thoght i could do ?!!! Thsnkx for the memories and mind expandind podcady
@janinedillon917,Yep save moneyvon bar drinks ìber msybe
@janinedillon917,Ohh a Groomer
